lightpink,,lightpink,#FFB6C1,255,182,193
pink,,pink,#FFC0CB,255,192,203
crimson,,crimson,#DC143C,220,20,60
lavenderblush,,lavenderblush,#FFF0F5,255,240,245
palevioletred,,palevioletred,#DB7093,219,112,147
hotpink,,hotpink,#FF69B4,255,105,180
deeppink,,deeppink,#FF1493,255,20,147
mediumvioletred,,mediumvioletred,#C71585,199,21,133
orchid,,orchid,#DA70D6,218,112,214
thistle,,thistle,#D8BFD8,216,191,216
plum,,plum,#DDA0DD,221,160,221
violet,,violet,#EE82EE,238,130,238
fuchsia*,,fuchsia*,#FF00FF,255,0,255
darkmagenta,,darkmagenta,#8B008B,139,0,139
purple*,,purple*,#800080,128,0,128
mediumorchid,,mediumorchid,#BA55D3,186,85,211
darkviolet,,darkviolet,#9400D3,148,0,211
darkorchid,,darkorchid,#9932CC,153,50,204
indigo,,indigo,#4B0082,75,0,130
blueviolet,,blueviolet,#8A2BE2,138,43,226
mediumpurple,,mediumpurple,#9370DB,147,112,219
mediumslateblue,,mediumslateblue,#7B68EE,123,104,238
slateblue,,slateblue,#6A5ACD,106,90,205
darkslateblue,,darkslateblue,#483D8B,72,61,139
ghostwhite,,ghostwhite,#F8F8FF,248,248,255
lavender,,lavender,#E6E6FA,230,230,250
blue*,,blue*,#0000FF,0,0,255
mediumblue,,mediumblue,#0000CD,0,0,205
darkblue,,darkblue,#00008B,0,0,139
navy*,,navy*,#000080,0,0,128
midnightblue,,midnightblue,#191970,25,25,112
royalblue,,royalblue,#4169E1,65,105,225
cornflowerblue,,cornflowerblue,#6495ED,100,149,237
lightsteelblue,,lightsteelblue,#B0C4DE,176,196,222
lightslategray,,lightslategray,#778899,119,136,153
slategray,,slategray,#708090,112,128,144
dodgerblue,,dodgerblue,#1E90FF,30,144,255
aliceblue,,aliceblue,#F0F8FF,240,248,255
steelblue,,steelblue,#4682B4,70,130,180
lightskyblue,,lightskyblue,#87CEFA,135,206,250
skyblue,,skyblue,#87CEEB,135,206,235
deepskyblue,,deepskyblue,#00BFFF,0,191,255
lightblue,,lightblue,#ADD8E6,173,216,230
powderblue,,powderblue,#B0E0E6,176,224,230
cadetblue,,cadetblue,#5F9EA0,95,158,160
darkturquoise,,darkturquoise,#00CED1,0,206,209
azure,,azure,#F0FFFF,240,255,255
lightcyan,,lightcyan,#E0FFFF,224,255,255
paleturquoise,,paleturquoise,#AFEEEE,175,238,238
aqua*,,aqua*,#00FFFF,0,255,255
darkcyan,,darkcyan,#008B8B,0,139,139
teal*,,teal*,#008080,0,128,128
darkslategray,,darkslategray,#2F4F4F,47,79,79
mediumturquoise,,mediumturquoise,#48D1CC,72,209,204
lightseagreen,,lightseagreen,#20B2AA,32,178,170
turquoise,,turquoise,#40E0D0,64,224,208
aquamarine,,aquamarine,#7FFFD4,127,255,212
mediumaquamarine,,mediumaquamarine,#66CDAA,102,205,170
mediumspringgreen,,mediumspringgreen,#00FA9A,0,250,154
